Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Languages,Clicks,Impressions,Engagement_Score,Customer_Segment,Dates
1,Innovate Industries,Email,Men 18-24,30 days,Google Ads,0.04,16174.00,6.3,Chicago,Spanish,506,1922,6,Health & Wellness,2021-01-01
2,NexGen Systems,Email,Women 35-44,60 days,Google Ads,0.12,11566.00,5.6,New York,German,116,7523,7,Fashionistas,2021-01-02
3,Alpha Innovations,Influencer,Men 25-34,30 days,YouTube,0.07,10200.00,7.2,Los Angeles,French,584,7698,1,Outdoor Adventurers,2021-01-03
4,DataTech Solutions,Display,All Ages,60 days,YouTube,0.11,12724.00,5.6,Miami,Mandarin,217,1820,7,Health & Wellness,2021-01-04
5,NexGen Systems,Email,Men 25-34,15 days,YouTube,0.05,16452.00,6.5,Los Angeles,Mandarin,379,4201,3,Health & Wellness,2021-01-05
6,DataTech Solutions,Display,All Ages,15 days,Instagram,0.07,9716.00,4.4,New York,German,100,1643,1,Foodies,2021-01-06
7,NexGen Systems,Email,Women 35-44,60 days,Website,0.13,11067.00,2.9,Los Angeles,Spanish,817,8749,10,Tech Enthusiasts,2021-01-07
8,DataTech Solutions,Search,Men 18-24,45 days,Google Ads,0.08,13280.00,5.6,Los Angeles,Mandarin,624,7854,7,Outdoor Adventurers,2021-01-08
9,Alpha Innovations,Social Media,Women 35-44,15 days,Facebook,0.09,18066.00,6.7,Chicago,German,861,1754,6,Tech Enthusiasts,2021-01-09
10,TechCorp,Email,Women 35-44,15 days,Instagram,0.09,13766.00,3.8,Los Angeles,English,642,3856,3,Tech Enthusiasts,2021-01-10
11,NexGen Systems,Display,Men 25-34,45 days,Email,0.12,8590.00,3.5,New York,Spanish,321,6628,10,Tech Enthusiasts,2021-01-11
12,Innovate Industries,Influencer,Men 25-34,60 days,Google Ads,0.05,17502.00,3.6,Los Angeles,Mandarin,659,8948,1,Foodies,2021-01-12
13,TechCorp,Social Media,Men 25-34,60 days,Facebook,0.09,17189.00,4.9,Chicago,Mandarin,677,8817,10,Tech Enthusiasts,2021-01-13
14,TechCorp,Email,Men 25-34,45 days,Instagram,0.14,9975.00,7.1,New York,German,994,2201,4,Health & Wellness,2021-01-14
15,TechCorp,Display,All Ages,45 days,Website,0.04,11346.00,5.3,Chicago,Spanish,482,8470,1,Outdoor Adventurers,2021-01-15
16,Innovate Industries,Social Media,Women 35-44,60 days,YouTube,0.11,9407.00,2.9,New York,German,299,1512,5,Health & Wellness,2021-01-16
17,Innovate Industries,Display,Women 35-44,45 days,Website,0.08,5478.00,4.5,Houston,English,931,2488,3,Fashionistas,2021-01-17
18,Alpha Innovations,Influencer,Men 18-24,15 days,Instagram,0.14,9485.00,4.5,Miami,French,218,9264,9,Health & Wellness,2021-01-18
19,Alpha Innovations,Social Media,Men 25-34,60 days,Google Ads,0.07,19224.00,6.1,New York,French,182,5798,1,Foodies,2021-01-19
20,DataTech Solutions,Influencer,Men 25-34,15 days,Google Ads,0.09,10258.00,3.8,Miami,French,193,3677,1,Tech Enthusiasts,2021-01-20
21,DataTech Solutions,Search,Women 25-34,15 days,Email,0.04,16580.00,8,New York,Spanish,975,1561,3,Outdoor Adventurers,2021-01-21
22,TechCorp,Influencer,All Ages,30 days,Facebook,0.02,12824.00,6.2,New York,French,319,8586,2,Foodies,2021-01-22
23,NexGen Systems,Social Media,Women 35-44,15 days,YouTube,0.13,8699.00,2.1,Miami,French,646,3841,5,Health & Wellness,2021-01-23
24,Innovate Industries,Email,Women 25-34,15 days,Facebook,0.04,17608.00,7.3,Miami,Spanish,764,2157,8,Health & Wellness,2021-01-24
25,NexGen Systems,Social Media,Men 18-24,60 days,YouTube,0.07,8773.00,6,Miami,Mandarin,527,1733,1,Fashionistas,2021-01-25
26,NexGen Systems,Search,Women 25-34,45 days,Instagram,0.04,14756.00,6.2,Houston,English,809,8236,10,Health & Wellness,2021-01-26
27,Alpha Innovations,Email,Women 25-34,45 days,Facebook,0.09,9182.00,6,Houston,English,953,6916,5,Fashionistas,2021-01-27
28,TechCorp,Email,Men 25-34,30 days,YouTube,0.07,6601.00,3.3,New York,Spanish,604,2420,3,Foodies,2021-01-28
29,TechCorp,Influencer,Men 18-24,60 days,Email,0.09,11552.00,7.1,Chicago,Spanish,384,7620,7,Tech Enthusiasts,2021-01-29
30,TechCorp,Social Media,Women 25-34,30 days,Email,0.09,11608.00,3.6,Los Angeles,Spanish,952,4055,1,Tech Enthusiasts,2021-01-30
31,Innovate Industries,Search,Men 25-34,45 days,Instagram,0.07,13124.00,2.8,Houston,Mandarin,512,4837,4,Tech Enthusiasts,2021-01-31
32,NexGen Systems,Influencer,All Ages,45 days,YouTube,0.07,13245.00,6.8,New York,English,309,2885,7,Foodies,2021-02-01
33,NexGen Systems,Display,Women 35-44,45 days,Email,0.06,5796.00,4.4,New York,Spanish,367,3218,9,Foodies,2021-02-02
34,Alpha Innovations,Influencer,Women 25-34,45 days,Google Ads,0.14,15082.00,2.7,Los Angeles,German,243,5724,4,Health & Wellness,2021-02-03
35,NexGen Systems,Influencer,Men 18-24,30 days,YouTube,0.07,18332.00,7.8,Houston,Spanish,360,5349,6,Fashionistas,2021-02-04
36,TechCorp,Display,Men 25-34,60 days,Instagram,0.09,13256.00,2.5,Miami,German,250,7373,3,Health & Wellness,2021-02-05
37,DataTech Solutions,Display,All Ages,45 days,Email,0.04,15779.00,7.2,New York,Spanish,822,7152,1,Foodies,2021-02-06
38,Innovate Industries,Influencer,Men 18-24,60 days,Facebook,0.06,7683.00,2.6,Houston,French,833,9772,8,Tech Enthusiasts,2021-02-07
39,Innovate Industries,Search,Men 25-34,30 days,Instagram,0.11,14742.00,2.2,Chicago,Spanish,663,9473,10,Tech Enthusiasts,2021-02-08
40,Innovate Industries,Search,Men 18-24,45 days,Google Ads,0.08,15495.00,7,Chicago,German,268,5495,6,Fashionistas,2021-02-09
41,DataTech Solutions,Social Media,All Ages,30 days,Website,0.04,18684.00,4.6,New York,French,212,4718,4,Foodies,2021-02-10
42,Alpha Innovations,Search,Men 25-34,45 days,Email,0.01,13096.00,3.4,Los Angeles,French,360,2776,1,Foodies,2021-02-11
43,Innovate Industries,Display,Men 25-34,60 days,Instagram,0.09,7818.00,5.6,Houston,French,598,8637,5,Fashionistas,2021-02-12
44,Innovate Industries,Display,All Ages,30 days,Instagram,0.09,8214.00,4.8,Chicago,English,988,1612,5,Fashionistas,2021-02-13
45,DataTech Solutions,Email,Men 18-24,45 days,Google Ads,0.04,6882.00,3.3,Miami,English,282,8038,7,Tech Enthusiasts,2021-02-14
46,NexGen Systems,Display,Women 35-44,60 days,Google Ads,0.03,13470.00,6.8,Miami,English,992,8036,8,Health & Wellness,2021-02-15
